Gain  Name    index   PixelsNumber    AverageIntensity    SumIntensity    Concentration[mg/ml]    volume[um^3] NumberOfMolecule  
800    Ognisko-11    10       343            71.67            24582              0.0359        0.1605     106.0220 
800    Ognisko-26    25       355            67.36            23912              0.0312        0.1661     95.5468 
800    Ognisko-25    22       1611            88.97            143333              0.0585        0.7539     812.1182 
800    Ognisko-24    24       580            66.48            38560              0.0303        0.2714     151.6280 
800    Ognisko-23    23       601            69.63            41849              0.0336        0.2813     174.1864 
800    Ognisko-22    21       529            72.04            38109              0.0363        0.2476     165.4208 
800    Ognisko-21    20       1286            75.22            96733              0.0400        0.6018     443.0500 
800    Ognisko-20    19       2453            85.15            208875              0.0529        1.1480     1118.6684 
800    Ognisko-19    18       395            69.70            27532              0.0337        0.1849     114.7352 
800    Ognisko-18    17       636            71.15            45252              0.0353        0.2976     193.4328 
800    Ognisko-17    15       680            76.86            52266              0.0420        0.3182     245.9310 
800    Ognisko-16    16       183            67.56            12364              0.0314        0.0856     49.5883 
800    Ognisko-15    13       1669            78.27            130625              0.0437        0.7811     628.7461 
800    Ognisko-14    14       2116            78.61            166336              0.0441        0.9903     805.0507 
800    Ognisko-13    11       1511            83.68            126437              0.0509        0.7071     662.2595 
800    Ognisko-12    12       311            71.45            22220              0.0356        0.1455     95.4697 
800    Ognisko-2    3       144            68.25            9828              0.0322        0.0674     39.9099 
800    Ognisko-10    9       1350            76.68            103515              0.0417        0.6318     485.6179 
800    Ognisko-9    8       833            76.68            63874              0.0417        0.3898     299.6591 
800    Ognisko-8    7       630            75.27            47423              0.0400        0.2948     217.4001 
800    Ognisko-7    4       1051            75.45            79293              0.0402        0.4919     364.5296 
800    Ognisko-6    6       616            73.90            45525              0.0384        0.2883     203.9781 
800    Ognisko-5    1       2134            82.75            176587              0.0496        0.9987     911.9158 
800    Ognisko-4    5       711            74.89            53246              0.0396        0.3327     242.5359 
800    Ognisko-3    0       629            76.62            48191              0.0417        0.2944     225.8469 
800    Ognisko-1    2       149            69.57            10366              0.0336        0.0697     43.0988 
